xxxxxxxxxxxxxxxxxxxx        x
xxxxxxxxxxxxxxxxxxxx        0
11110000100010011001     4560
11110000100010011001     4576
11110000101000110111     4576
11110000101000110111     4592
11110000101101011100     4592
11110000101101011100     4608
11110000110010010000     4608
11110000110010010000     4624
11110000110111001000     4624
11110000110111001000     4640
11110000111111001001     4640
11110000111111001001     4656
11110001000100110001     4656
11110001000100110001     4672
11110001001010101001     4672
11110001001010101001     4688
11110001010000101111     4688
11110001010000101111     4704
11110001011010010101     4704
11110001011010010101     4720
11110001100000111110     4720
11110001100000111110     4736
11110001100111110111     4736
11110001100111110111     4752
11110001101110111110     4752
11110001101110111110     4768
11110001111010000100     4768
11110001111010000100     4784
11110010000001110001     4784
11110010000001110001     4800
11110010001001101001     4800
11110010001001101001     4816
11110010010001110000     4816
11110010010001110000     4832
11110010011110010011     4832
11110010011110010011     4848
11110010100110011001     4848
11110010100110011001     4864
11110010101111001111     4864
11110010101111001111     4880
11110010111000010001     4880
11110010111000010001     4896
11110011000110001111     4896
11110011000110001111     4912
11110011001111110010     4912
11110011001111110010     4928
11110011011001100010     4928
11110011011001100010     4944
11110011100011011111     4944
11110011100011011111     4960
11110011101101100100     4960
11110011101101100100     4976
11110011111101000111     4976
11110011111101000111     4992
11110100000111101110     4992
11110100000111101110     5008
11110100010010100001     5008
11110100010010100001     5024
11110100100011000110     5024
11110100100011000110     5040
11110100101001101010     5040
11110100101001101010     5056
11110100111010110001     5056
11110100111010110001     5072
11110101000110011001     5072
11110101000110011001     5088
11110101010010001011     5088
11110101010010001011     5104
11110101011110001001     5104
11110101011110001001     5120
11110101110000010111     5120
11110101110000010111     5136
11110101111100101001     5136
11110101111100101001     5152
11110110001001001001     5152
11110110001001001001     5168
11110110010101110100     5168
11110110010101110100     5184
11110110101001001000     5184
11110110101001001000     5200
11110110110110001010     5200
11110110110110001010     5216
11110111000011010111     5216
11110111000011010111     5232
11110111010000101011     5232
11110111010000101011     5248
11110111011101001111     5248
11110111011101001111     5264
11110111110001101000     5264
11110111110001101000     5280
11110111111111011011     5280
11110111111111011011     5296
11111000001101010101     5296
11111000001101010101     5312
11111000100010011010     5312
11111000100010011010     5328
11111000110000101000     5328
11111000110000101000     5344
11111000111110111100     5344
11111000111110111100     5360
11111001001101010000     5360
11111001001101010000     5376
11111001011011110001     5376
11111001011011110001     5392
11111001110001110000     5392
11111001110001110000     5408
11111010000000100001     5408
11111010000000100001     5424
11111010001111011001     5424
11111010001111011001     5440
11111010100101111001     5440
11111010100101111001     5456
11111010110100111110     5456
11111010110100111110     5472
11111011000011011110     5472
11111011000011011110     5488
11111011010010101101     5488
11111011010010101101     5504
11111011101001101110     5504
11111011101001101110     5520
11111011111001001000     5520
11111011111001001000     5536
11111100001000100111     5536
11111100001000100111     5552
11111100011000001011     5552
11111100011000001011     5568
