xxxxxxxxxxxxxxxxxxxx        x
xxxxxxxxxxxxxxxxxxxx        0
11111001011011110001     3936
11111001011011110001     3952
11111001110001110000     3952
11111001110001110000     3968
11111010000000100001     3968
11111010000000100001     3984
11111010001111011001     3984
11111010001111011001     4000
11111010100101111001     4000
11111010100101111001     4016
11111010110100111110     4016
11111010110100111110     4032
11111011000011011111     4032
11111011000011011111     4048
11111011010010101110     4048
11111011010010101110     4064
11111011101001101111     4064
11111011101001101111     4080
11111011111001001001     4080
11111011111001001001     4096
11111100001000101000     4096
11111100001000101000     4112
11111100011000001100     4112
11111100011000001100     4128
11111100101111100101     4128
11111100101111100101     4144
11111100111111001010     4144
11111100111111001010     4160
11111101001110111000     4160
11111101001110111000     4176
11111101011110101011     4176
11111101011110101011     4192
11111101110110011001     4192
11111101110110011001     4208
11111110000110010000     4208
11111110000110010000     4224
11111110010110001001     4224
11111110010110001001     4240
11111110100110000010     4240
11111110100110000010     4256
11111110110100111010     4256
11111110110100111010     4272
11111111001100110100     4272
11111111001100110100     4288
11111111011100110011     4288
11111111011100110011     4304
11111111101100110001     4304
11111111101100110001     4320
00000000000100110010     4320
00000000000100110010     4336
00000000010011001011     4336
00000000010011001011     4352
00000000100011001011     4352
00000000100011001011     4368
00000000110011001010     4368
00000000110011001010     4384
00000001001011001000     4384
00000001001011001000     4400
00000001011001111010     4400
00000001011001111010     4416
00000001101001110101     4416
00000001101001110101     4432
00000001111001101110     4432
00000001111001101110     4448
00000010010001011111     4448
00000010010001011111     4464
00000010100001010100     4464
00000010100001010100     4480
00000010110001000101     4480
00000010110001000101     4496
00000011000000110101     4496
00000011000000110101     4512
00000011010000010111     4512
00000011010000010111     4528
00000011100111110100     4528
00000011100111110100     4544
00000011110111011000     4544
00000011110111011000     4560
00000100000110111001     4560
00000100000110111001     4576
00000100011101111110     4576
00000100011101111110     4592
00000100101101010010     4592
00000100101101010010     4608
00000100111100100011     4608
00000100111100100011     4624
00000101001010111110     4624
00000101001010111110     4640
00000101100001100110     4640
00000101100001100110     4656
00000101110000100101     4656
00000101110000100101     4672
00000101111111011011     4672
00000101111111011011     4688
00000110001110001110     4688
00000110001110001110     4704
00000110100100001111     4704
00000110100100001111     4720
00000110110010110010     4720
00000110110010110010     4736
00000111000001000010     4736
00000111000001000010     4752
00000111001111011000     4752
00000111001111011000     4768
00000111100100101001     4768
00000111100100101001     4784
00000111110010101001     4784
00000111110010101001     4800
00001000000000100101     4800
00001000000000100101     4816
00001000001110011000     4816
00001000001110011000     4832
00001000100010110101     4832
00001000100010110101     4848
00001000101111010011     4848
00001000101111010011     4864
00001000111100101001     4864
00001000111100101001     4880
00001001001001110110     4880
00001001001001110110     4896
00001001011101010110     4896
00001001011101010110     4912
00001001101010001100     4912
00001001101010001100     4928
00001001110110110111     4928
00001001110110110111     4944
00001010000011011001     4944
00001010000011011001     4960
00001010001111100111     4960
00001010001111100111     4976
00001010100001111001     4976
00001010100001111001     4992
00001010101101110111     4992
00001010101101110111     5008
00001010111001101011     5008
00001010111001101011     5024
00001011001011000000     5024
00001011001011000000     5040
00001011010001101000     5040
00001011010001101000     5056
00001011100010011101     5056
00001011100010011101     5072
00001011101101011011     5072
00001011101101011011     5088
00001011111000010000     5088
00001011111000010000     5104
00001100000010110111     5104
00001100000010110111     5120
00001100010010011110     5120
00001100010010011110     5136
00001100011100011111     5136
00001100011100011111     5152
00001100100110011110     5152
00001100100110011110     5168
00001100110000001110     5168
00001100110000001110     5184
00001100111110011110     5184
00001100111110011110     5200
00001101000111101111     5200
00001101000111101111     5216
00001101010000110001     5216
00001101010000110001     5232
00001101011001101001     5232
00001101011001101001     5248
00001101100001101001     5248
00001101100001101001     5264
00001101101110010000     5264
00001101101110010000     5280
00001101110110010111     5280
00001101110110010111     5296
00001101111110010001     5296
00001101111110010001     5312
00001110001001101100     5312
00001110001001101100     5328
00001110010001000010     5328
00001110010001000010     5344
00001110011000001011     5344
00001110011000001011     5360
00001110011110111111     5360
00001110011110111111     5376
00001110100101101010     5376
00001110100101101010     5392
00001110101111010010     5392
00001110101111010010     5408
00001110110101011010     5408
00001110110101011010     5424
00001110111011010010     5424
00001110111011010010     5440
00001111000011101001     5440
00001111000011101001     5456
00001111001000111101     5456
00001111001000111101     5472
00001111001101101110     5472
00001111001101101110     5488
00001111010010100100     5488
00001111010010100100     5504
00001111011001010111     5504
00001111011001010111     5520
00001111011101100101     5520
00001111011101100101     5536
00001111100001100101     5536
00001111100001100101     5552
00001111100101010100     5552
00001111100101010100     5568
00001111101010100001     5568
00001111101010100001     5584
00001111101101100110     5584
00001111101101100110     5600
